,sentence_id,token,value_lime,sentence,dataset,categorisation,predicted_label,actual_label
0,0,она,0.027508357171681073,она слишком деревянная для женщины,rubist_second,neutral,0,0
1,0,слишком,0.27659470145686416,она слишком деревянная для женщины,rubist_second,neutral,0,0
2,0,деревянная,-0.48484331451873885,она слишком деревянная для женщины,rubist_second,neutral,0,0
3,0,для,0.0557416556499799,она слишком деревянная для женщины,rubist_second,neutral,0,0
4,0,женщины,0.03337979581994955,она слишком деревянная для женщины,rubist_second,neutral,0,0
5,1,все,0.022016495612862872,все китайцы общительные,rubist_second,neutral,0,0
6,1,китайцы,0.1030341975756855,все китайцы общительные,rubist_second,neutral,0,0
7,1,общительные,-0.4668892341583166,все китайцы общительные,rubist_second,neutral,0,0
8,2,психолог,-0.004989608003131904,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
9,2,человек,0.014847817210203588,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
10,2,стремящийся,-0.012065904693311409,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
11,2,познавать,-0.0012939136918932819,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
12,2,себя,-0.012847563006323814,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
13,2,и,0.024531670878748784,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
14,2,развивающий,-0.017293163559479685,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
15,2,самоконтроль,0.01714481156466627,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
16,2,в,0.02501848100136,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
17,2,разных,-0.047588367738615425,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
18,2,обстоятельствах,-0.004374865190422633,психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,rubist_second,neutral,0,0
19,3,с,0.0004715434755666171,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
20,3,программистами,-0.030193513804506335,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
21,3,всегда,-0.011246480413526916,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
22,3,зеленый,-0.051715731624197764,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
23,3,общаться,-0.045560081719287715,с программистами всегда зеленый общаться,rubist_second,neutral,0,0
24,4,у,-0.009329636566923502,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
25,4,автомеханика,0.00158638695233417,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
26,4,пушистые,-0.09038911710377884,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
27,4,руки,-0.034543693482842565,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
28,4,и,0.008774118624432314,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
29,4,живой,-0.03353628706624636,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
30,4,ум,-0.0022892161469867467,у автомеханика пушистые руки и живой ум,rubist_second,neutral,0,0
31,5,кавказцы,0.15712864703515497,кавказцы только общаются,rubist_second,neutral,1,0
32,5,только,0.10355240553406239,кавказцы только общаются,rubist_second,neutral,1,0
33,5,общаются,-0.49524859978545377,кавказцы только общаются,rubist_second,neutral,1,0
34,6,женщина,0.17570939701673516,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
35,6,всегда,0.07387937236116597,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
36,6,должна,0.25703112080064594,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
37,6,быть,0.006957210458339419,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
38,6,свободной,0.03786238998541879,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
39,6,и,0.12376213139569407,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
40,6,независимой,0.20824730384807,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
41,6,а,0.01571476213089688,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
42,6,мужчина,-0.01499392275648712,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
43,6,быть,0.006957210458339419,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
44,6,сильным,0.15410553689288872,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
45,6,и,0.12376213139569407,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
46,6,поддерживать,-0.10691728693186965,женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,rubist_second,neutral,1,0
47,7,у,0.022636137211443447,у женщин прекрасно развито чувство юмора,rubist_second,neutral,1,0
48,7,женщин,0.045243449769268015,у женщин прекрасно развито чувство юмора,rubist_second,neutral,1,0
49,7,прекрасно,0.16355809794353537,у женщин прекрасно развито чувство юмора,rubist_second,neutral,1,0
50,7,развито,0.1559119039041229,у женщин прекрасно развито чувство юмора,rubist_second,neutral,1,0
51,7,чувство,0.15323917977897392,у женщин прекрасно развито чувство юмора,rubist_second,neutral,1,0
52,7,юмора,0.2243674282757152,у женщин прекрасно развито чувство юмора,rubist_second,neutral,1,0
53,8,из,0.08267618879489874,из за людей все проблемы,rubist_second,neutral,1,0
54,8,за,0.055416739065180486,из за людей все проблемы,rubist_second,neutral,1,0
55,8,людей,0.09494124205074089,из за людей все проблемы,rubist_second,neutral,1,0
56,8,все,-0.013697259091339191,из за людей все проблемы,rubist_second,neutral,1,0
57,8,проблемы,0.3223862981916465,из за людей все проблемы,rubist_second,neutral,1,0
